Protein,Protein Name,Protein Family,ChEMBL ID
KCNJ1,Na(+)/H(+) exchange regulatory cofactor NHE-RF2,N/A,CHEMBL4739686
KCNJ1,Serine/threonine-protein kinase WNK3,Belongs to the protein kinase superfamily. Ser/Thr protein kinase family. WNK subfamily,CHEMBL6055
DPP10,A-type voltage-gated potassium channel KCND2,Belongs to the potassium channel family. D (Shal) (TC 1.A.1.2) subfamily. Kv4.2/KCND2 sub-subfamily,CHEMBL5885
DPP10,A-type voltage-gated potassium channel KCND1,Belongs to the potassium channel family. D (Shal) (TC 1.A.1.2) subfamily. Kv4.1/KCND1 sub-subfamily,CHEMBL2362996
DPP10,A-type potassium channel modulatory protein KCNIP2,Belongs to the recoverin family,CHEMBL2189164
DPP10,A-type voltage-gated potassium channel KCND3,Belongs to the potassium channel family. D (Shal) (TC 1.A.1.2) subfamily. Kv4.3/KCND3 sub-subfamily,CHEMBL1964
G6PD,Glucose-6-phosphate 1-dehydrogenase,Belongs to the glucose-6-phosphate dehydrogenase family,CHEMBL5347
G6PD,NAD-dependent protein deacetylase sirtuin-2,Belongs to the sirtuin family. Class I subfamily,CHEMBL4462
G6PD,Cellular tumor antigen p53,Belongs to the p53 family,CHEMBL4096
G6PD,V-type proton ATPase subunit S1,Belongs to the vacuolar ATPase subunit S1 family,CHEMBL4790
G6PD,Heat shock protein beta-1,Belongs to the small heat shock protein (HSP20) family,CHEMBL5976
G6PD,Filamin-A,Belongs to the filamin family,CHEMBL4804243
QRFPR,Pyroglutamylated RF-amide peptide receptor,Belongs to the G-protein coupled receptor 1 family,CHEMBL5852
IRX5,Alpha-ketoglutarate-dependent dioxygenase FTO,Belongs to the fto family,CHEMBL2331065
GPR135,G-protein coupled receptor 135,Belongs to the G-protein coupled receptor 1 family,CHEMBL3309102
GPR135,Melatonin receptor type 1B,Belongs to the G-protein coupled receptor 1 family,CHEMBL1946
GPR135,Beta-arrestin-1,Belongs to the arrestin family,CHEMBL1795088
GPR135,G-protein coupled receptor 62,Belongs to the G-protein coupled receptor 1 family,CHEMBL4523917
GPR135,G-protein coupled receptor 61,Belongs to the G-protein coupled receptor 1 family,CHEMBL4523918
NPS,Neuropeptide S,N/A,CHEMBL3596086
NPS,Protein NipSnap homolog 1,Belongs to the NipSnap family,CHEMBL4295933
NPS,"Phospholipase A2, membrane associated",Belongs to the phospholipase A2 family,CHEMBL3474
NPS,Protein NipSnap homolog 3A,Belongs to the NipSnap family,CHEMBL3817722
NPS,Neuropeptide S receptor,Belongs to the G-protein coupled receptor 1 family. Vasopressin/oxytocin receptor subfamily,CHEMBL5162
NPS,Bromodomain-containing protein 4,Belongs to the BET family,CHEMBL1163125
NPS,Extracellular calcium-sensing receptor,Belongs to the G-protein coupled receptor 3 family,CHEMBL1878
CRHR1,Corticotropin-releasing factor receptor 1,Belongs to the G-protein coupled receptor 2 family,CHEMBL1800
CRHR1,Corticoliberin,Belongs to the sauvagine/corticotropin-releasing factor/urotensin I family,CHEMBL5291554
CRHR1,G-protein coupled estrogen receptor 1,Belongs to the G-protein coupled receptor 1 family,CHEMBL5872
GP1BB,Platelet glycoprotein Ib alpha chain,N/A,CHEMBL4630891
GP1BB,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2","Belongs to the inositol 1,4,5-trisphosphate 5-phosphatase family",CHEMBL2331064
CXCR4,C-X-C chemokine receptor type 4,Belongs to the G-protein coupled receptor 1 family,CHEMBL2107
CXCR4,Stromal cell-derived factor 1,Belongs to the intercrine alpha (chemokine CxC) family,CHEMBL3286074
CXCR4,G protein-coupled receptor kinase 6,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family. GPRK subfamily,CHEMBL6144
CXCR4,E3 ubiquitin-protein ligase Itchy homolog,N/A,CHEMBL4295925
CXCR4,Ubiquitin carboxyl-terminal hydrolase 14,Belongs to the peptidase C19 family. USP14/UBP6 subfamily,CHEMBL1293295
CXCR4,Atypical chemokine receptor 3,Belongs to the G-protein coupled receptor 1 family. Atypical chemokine receptor subfamily,CHEMBL2010631
CXCR4,C-X-C chemokine receptor type 5,Belongs to the G-protein coupled receptor 1 family,CHEMBL1075315
CXCR4,Atypical chemokine receptor 2,Belongs to the G-protein coupled receptor 1 family. Atypical chemokine receptor subfamily,CHEMBL4105988
CXCR4,Serine/threonine-protein kinase Sgk3,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family,CHEMBL6186
CREB1,Cyclic AMP-responsive element-binding protein 1,Belongs to the bZIP family,CHEMBL5587
CREB1,Calcium/calmodulin-dependent protein kinase type 1D,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family. CaMK subfamily,CHEMBL5073
CREB1,Serine/threonine-protein kinase Sgk1,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family,CHEMBL2343
CREB1,Homeodomain-interacting protein kinase 2,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. HIPK subfamily,CHEMBL4576
CREB1,Fibroblast growth factor receptor 1,Belongs to the protein kinase superfamily. Tyr protein kinase family. Fibroblast growth factor receptor subfamily,CHEMBL3650
CREB1,Ribosomal protein S6 kinase alpha-3,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family. S6 kinase subfamily,CHEMBL2345
CREB1,RNA-binding protein EWS,Belongs to the RRM TET family,CHEMBL3351202
CREB1,Histone-lysine N-methyltransferase 2A,Belongs to the class V-like SAM-binding methyltransferase superfamily. Histone-lysine methyltransferase family. TRX/MLL subfamily,CHEMBL1293299
CREB1,Calcium/calmodulin-dependent protein kinase type IV,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family. CaMK subfamily,CHEMBL2494
CREB1,CREB-binding protein,N/A,CHEMBL5747
CREB1,RAC-alpha serine/threonine-protein kinase,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family. RAC subfamily,CHEMBL4282
CREB1,Beta-arrestin-1,Belongs to the arrestin family,CHEMBL1795088
CREB1,Testis-specific serine/threonine-protein kinase 4,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family,CHEMBL4295868
CREB1,Cyclic AMP-dependent transcription factor ATF-1,Belongs to the bZIP family. ATF subfamily,CHEMBL3255
CREB1,Ribosomal protein S6 kinase alpha-4,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family. S6 kinase subfamily,CHEMBL3125
CREB1,Ribosomal protein S6 kinase alpha-1,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family. S6 kinase subfamily,CHEMBL2553
IGF2,Insulin-like growth factor 2,Belongs to the insulin family,CHEMBL3712957
IGF2,Cation-independent mannose-6-phosphate receptor,Belongs to the MRL1/IGF2R family,CHEMBL3240
IGF2,Insulin-like growth factor-binding protein 1,N/A,CHEMBL4178
IGF2,Integrin alpha-6,Belongs to the integrin alpha chain family,CHEMBL3716
IGF2,Insulin-like growth factor-binding protein 3,N/A,CHEMBL3997
IGF2,Insulin-like growth factor-binding protein 2,N/A,CHEMBL3088
IGF2,Integrin beta-3,Belongs to the integrin beta chain family,CHEMBL1907598
IGF2,Integrin alpha-V,Belongs to the integrin alpha chain family,CHEMBL3660
IGF2,Constitutive coactivator of PPAR-gamma-like protein 1,Belongs to the constitutive coactivator of PPAR-gamma family,CHEMBL4295966
IGF2,Insulin-like growth factor-binding protein 4,N/A,CHEMBL2310
IGF2,Transcriptional repressor CTCF,Belongs to the CTCF zinc-finger protein family,CHEMBL4523233
IGF2,Protein lin-28 homolog A,Belongs to the lin-28 family,CHEMBL4523458
IGF2,Proprotein convertase subtilisin/kexin type 4,Belongs to the peptidase S8 family. Furin subfamily,CHEMBL4861
IGF2,Insulin-like growth factor 1 receptor,Belongs to the protein kinase superfamily. Tyr protein kinase family. Insulin receptor subfamily,CHEMBL1957
EFTUD2,U5 small nuclear ribonucleoprotein 200 kDa helicase,Belongs to the helicase family. SKI2 subfamily,CHEMBL4105972
TBXA2R,Thromboxane A2 receptor,Belongs to the G-protein coupled receptor 1 family,CHEMBL2069
TBXA2R,Proteasome subunit alpha type-3,Belongs to the peptidase T1A family,CHEMBL2364701
TBXA2R,Peroxiredoxin-4,Belongs to the peroxiredoxin family. AhpC/Prx1 subfamily,CHEMBL4295812
TBXA2R,Adiponectin receptor protein 1,Belongs to the ADIPOR family,CHEMBL3392946
TBXA2R,NADPH oxidase 1,N/A,CHEMBL1287628
TBXA2R,Serine/threonine-protein kinase VRK2,Belongs to the protein kinase superfamily. CK1 Ser/Thr protein kinase family. VRK subfamily,CHEMBL1649059
TBXA2R,Calcium-activated potassium channel subunit alpha-1,Belongs to the potassium channel family. Calcium-activated (TC 1.A.1.3) subfamily. KCa1.1/KCNMA1 sub-subfamily,CHEMBL4304
TBXA2R,Gap junction beta-2 protein,Belongs to the connexin family. Beta-type (group I) subfamily,CHEMBL4295738
PLA2G10,Group 10 secretory phospholipase A2,Belongs to the phospholipase A2 family,CHEMBL4342
PLA2G10,Secretory phospholipase A2 receptor,N/A,CHEMBL3713395
PLA2G10,Heat shock factor protein 4,Belongs to the HSF family,CHEMBL3988631
OPRM1,Mu-type opioid receptor,Belongs to the G-protein coupled receptor 1 family,CHEMBL233
OPRM1,Delta-type opioid receptor,Belongs to the G-protein coupled receptor 1 family,CHEMBL236
OPRM1,Arachidonate 5-lipoxygenase-activating protein,Belongs to the MAPEG family,CHEMBL4550
OPRM1,Zyxin,Belongs to the zyxin/ajuba family,CHEMBL4295832
GRIK2,"Glutamate receptor ionotropic, kainate 2",Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. GRIK2 subfamily,CHEMBL3683
GRIK2,"Glutamate receptor ionotropic, kainate 5",Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. GRIK5 subfamily,CHEMBL2675
GRIK2,"Glutamate receptor ionotropic, kainate 4",Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. GRIK4 subfamily,CHEMBL2109241
GRIK2,"Glutamate receptor ionotropic, kainate 3",Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. GRIK3 subfamily,CHEMBL3684
GRIK2,Serine/threonine-protein kinase Sgk2,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family,CHEMBL5794
GRIK2,Serine/threonine-protein kinase Sgk3,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family,CHEMBL6186
GRIK2,Serine/threonine-protein kinase Sgk1,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family,CHEMBL2343
GRIK2,Disks large homolog 4,Belongs to the MAGUK family,CHEMBL5666
GRIK2,Huntingtin,Belongs to the huntingtin family,CHEMBL5514
PLCL1,Synaptosomal-associated protein 25,Belongs to the SNAP-25 family,CHEMBL2364159
PLCL1,Microtubule-associated proteins 1A/1B light chain 3B,Belongs to the ATG8 family,CHEMBL4879514
SFRP4,Estradiol 17-beta-dehydrogenase 11,Belongs to the short-chain dehydrogenases/reductases (SDR) family. 17-beta-HSD 3 subfamily,CHEMBL5305043
SYNPR,G-protein coupled receptor 37-like 1,Belongs to the G-protein coupled receptor 1 family,CHEMBL5892
SYNPR,Excitatory amino acid transporter 3,Belongs to the dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23) family. SLC1A1 subfamily,CHEMBL2721
PPIA,Peptidyl-prolyl cis-trans isomerase A,Belongs to the cyclophilin-type PPIase family. PPIase A subfamily,CHEMBL1949
PPIA,Basigin,N/A,CHEMBL3580492
PPIA,Heterogeneous nuclear ribonucleoprotein A1,N/A,CHEMBL1955709
PPIA,Forkhead box protein O1,N/A,CHEMBL5294
PPIA,Mitogen-activated protein kinase kinase kinase 5,Belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family. MAP kinase kinase kinase subfamily,CHEMBL5285
PPIA,Heterogeneous nuclear ribonucleoproteins C1/C2,Belongs to the RRM HNRPC family. RALY subfamily,CHEMBL2216742
PPIA,Protein phosphatase 3 catalytic subunit alpha,Belongs to the PPP phosphatase family. PP-2B subfamily,CHEMBL4445
PPIA,Heterogeneous nuclear ribonucleoproteins A2/B1,N/A,CHEMBL3124741
PPIA,TAR DNA-binding protein 43,N/A,CHEMBL2362981
PPIA,Heterogeneous nuclear ribonucleoprotein M,N/A,CHEMBL5291610
PPIA,Orexin receptor type 2,Belongs to the G-protein coupled receptor 1 family,CHEMBL4792
PPIA,Tyrosine-protein kinase ITK/TSK,Belongs to the protein kinase superfamily. Tyr protein kinase family. TEC subfamily,CHEMBL2959
PPIA,Adapter molecule crk,Belongs to the CRK family,CHEMBL5005
CCR3,C-C chemokine receptor type 3,Belongs to the G-protein coupled receptor 1 family,CHEMBL3473
CCR3,C-X-C chemokine receptor type 3,Belongs to the G-protein coupled receptor 1 family,CHEMBL4441
CCR3,Eotaxin,Belongs to the intercrine beta (chemokine CC) family,CHEMBL3286077
CCR3,C-C motif chemokine 7,Belongs to the intercrine beta (chemokine CC) family,CHEMBL3217391
CCR3,C-C chemokine receptor type 10,Belongs to the G-protein coupled receptor 1 family,CHEMBL2321628
CCR3,C-C motif chemokine 5,Belongs to the intercrine beta (chemokine CC) family,CHEMBL1275217
CCR3,C-C chemokine receptor type 4,Belongs to the G-protein coupled receptor 1 family,CHEMBL2414
CCR3,"NACHT, LRR and PYD domains-containing protein 3",Belongs to the NLRP family,CHEMBL1741208
MC1R,Melanocyte-stimulating hormone receptor,Belongs to the G-protein coupled receptor 1 family,CHEMBL3795
MC1R,Opsin-3,Belongs to the G-protein coupled receptor 1 family. Opsin subfamily,CHEMBL4523919
ISCA2,Choline O-acetyltransferase,Belongs to the carnitine/choline acetyltransferase family,CHEMBL4039
ISCA2,Transthyretin,Belongs to the transthyretin family,CHEMBL3194
ISCA2,Gelsolin,Belongs to the villin/gelsolin family,CHEMBL4295700
ISCA2,Kinesin-like protein KIF1B,Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family. Unc-104 subfamily,CHEMBL5889
ISCA2,Fibroblast growth factor receptor 3,Belongs to the protein kinase superfamily. Tyr protein kinase family. Fibroblast growth factor receptor subfamily,CHEMBL2742
GPR176,G-protein coupled receptor 176,Belongs to the G-protein coupled receptor 1 family,CHEMBL4523869
MEIS2,Transcription factor Sp1,Belongs to the Sp1 C2H2-type zinc-finger protein family,CHEMBL6103
MEIS2,Protein cereblon,Belongs to the CRBN family,CHEMBL3763008
MEIS2,Homeobox protein Meis1,Belongs to the TALE/MEIS homeobox family,CHEMBL4879409
MEIS2,Alpha-2C adrenergic receptor,Belongs to the G-protein coupled receptor 1 family. Adrenergic receptor subfamily. ADRA2C sub-subfamily,CHEMBL1916
MEIS2,Insulin-like growth factor-binding protein 6,N/A,CHEMBL2139
GPR139,Probable G-protein coupled receptor 139,Belongs to the G-protein coupled receptor 1 family,CHEMBL3632455
APPBP2,Amyloid-beta precursor protein,Belongs to the APP family,CHEMBL2487
APPBP2,Heat shock 70 kDa protein 4,Belongs to the heat shock protein 70 family,CHEMBL5169130
APPBP2,Collagen alpha-1(XXIV) chain,Belongs to the fibrillar collagen family,CHEMBL2364188
APPBP2,LanC-like protein 2,Belongs to the LanC-like protein family,CHEMBL3351212
APPBP2,B-cell CLL/lymphoma 7 protein family member A,Belongs to the BCL7 family,CHEMBL4630829
APPBP2,Elongin-B,N/A,CHEMBL3301400
APPBP2,Epididymis-specific alpha-mannosidase,Belongs to the glycosyl hydrolase 38 family,CHEMBL2682
APPBP2,Homeodomain-interacting protein kinase 4,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. HIPK subfamily,CHEMBL1075167
APPBP2,Hepatocyte growth factor activator,Belongs to the peptidase S1 family,CHEMBL3351190
AAAS,Aurora kinase A,Belongs to the protein kinase superfamily. Ser/Thr protein kinase family. Aurora subfamily,CHEMBL4722
AAAS,"Atypical kinase COQ8B, mitochondrial",Belongs to the protein kinase superfamily. ADCK protein kinase family,CHEMBL5753
AAAS,"Atypical kinase COQ8A, mitochondrial",Belongs to the protein kinase superfamily. ADCK protein kinase family,CHEMBL5550
GSR,"Glutathione reductase, mitochondrial",Belongs to the class-I pyridine nucleotide-disulfide oxidoreductase family,CHEMBL2755
SGTA,Heat shock protein HSP 90-alpha,Belongs to the heat shock protein 90 family,CHEMBL3880
SGTA,Heat shock protein HSP 90-beta,Belongs to the heat shock protein 90 family,CHEMBL4303
SGTA,Protransforming growth factor alpha,N/A,CHEMBL4662938
TRIM23,Sequestosome-1,N/A,CHEMBL4295816
TRIM23,Serine/threonine-protein kinase TBK1,Belongs to the protein kinase superfamily. Ser/Thr protein kinase family. I-kappa-B kinase subfamily,CHEMBL5408
TRIM23,Cysteine and glycine-rich protein 2,N/A,CHEMBL4295833
TRIM23,Protein phosphatase 1 regulatory subunit 15B,Belongs to the PPP1R15 family,CHEMBL4630830
CAT,Catalase,Belongs to the catalase family,CHEMBL3627594
CAT,Carnitine O-acetyltransferase,Belongs to the carnitine/choline acetyltransferase family,CHEMBL3184
CAT,Transient receptor potential cation channel subfamily V member 6,Belongs to the transient receptor (TC 1.A.4) family. TrpV subfamily. TRPV6 sub-subfamily,CHEMBL1628465
CAT,Chromatin remodeling regulator CECR2,N/A,CHEMBL3108639
CAT,Cationic amino acid transporter 3,Belongs to the amino acid-polyamine-organocation (APC) superfamily. Cationic amino acid transporter (CAT) (TC 2.A.3.3) family,CHEMBL5209633
CAT,Ras guanyl-releasing protein 3,Belongs to the RASGRP family,CHEMBL3638
CAT,Tyrosine-protein phosphatase non-receptor type 18,Belongs to the protein-tyrosine phosphatase family. Non-receptor class 4 subfamily,CHEMBL3351197
CAT,"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",Belongs to the glycosyl hydrolase 47 family,CHEMBL2308
AHR,Aryl hydrocarbon receptor,N/A,CHEMBL3201
AHR,Aryl hydrocarbon receptor nuclear translocator,N/A,CHEMBL5618
AHR,Ubiquitin-like protein NEDD8,Belongs to the ubiquitin family,CHEMBL4295831
AHR,Heat shock protein HSP 90-beta,Belongs to the heat shock protein 90 family,CHEMBL4303
AHR,Protein mono-ADP-ribosyltransferase TIPARP,Belongs to the ARTD/PARP family,CHEMBL2380188
AHR,L-amino-acid oxidase,Belongs to the flavin monoamine oxidase family. FIG1 subfamily,CHEMBL5291590
AHR,Peptidyl-prolyl cis-trans isomerase D,Belongs to the cyclophilin-type PPIase family. PPIase D subfamily,CHEMBL1697657
AHR,Calcium-activated chloride channel regulator 1,Belongs to the CLCR family,CHEMBL2364708
AHR,AH receptor-interacting protein,N/A,CHEMBL4295645
AHR,Nuclear receptor corepressor 2,Belongs to the N-CoR nuclear receptor corepressors family,CHEMBL2111363
AHR,Zinc finger protein Aiolos,Belongs to the Ikaros C2H2-type zinc-finger protein family,CHEMBL4739707
ABCB7,"Ferrochelatase, mitochondrial",Belongs to the ferrochelatase family,CHEMBL3879831
ABCB7,"ATP synthase subunit alpha, mitochondrial",Belongs to the ATPase alpha/beta chains family,CHEMBL2062351
KDM6B,Lysine-specific demethylase 6B,Belongs to the UTX family,CHEMBL1938211
KDM6B,Histone-lysine N-methyltransferase 2B,Belongs to the class V-like SAM-binding methyltransferase superfamily. Histone-lysine methyltransferase family. TRX/MLL subfamily,CHEMBL2189112
KDM6B,Lysine-specific demethylase 6A,Belongs to the UTX family,CHEMBL2069164
KDM6B,Transcription activator BRG1,Belongs to the SNF2/RAD54 helicase family,CHEMBL3085620
KDM6B,Estrogen receptor,Belongs to the nuclear hormone receptor family. NR3 subfamily,CHEMBL206
